상품번호,상품명,상품링크,깨진이미지수,전체이미지수,깨진이미지주소,응답코드
5579002,(우먼) 헤어리 울 자켓_챠콜,https://www.musinsa.com/products/5579002,7,11,https://cgraphy.diskn.com/KIIMUIR/2025/25FW/KBEWWJK003CH/01.jpg,"의심(작음 3,601B)"
5579002,(우먼) 헤어리 울 자켓_챠콜,https://www.musinsa.com/products/5579002,7,11,https://cgraphy.diskn.com/KIIMUIR/2025/25FW/KBEWWJK003CH/02.jpg,"의심(작음 3,601B)"
5579002,(우먼) 헤어리 울 자켓_챠콜,https://www.musinsa.com/products/5579002,7,11,https://cgraphy.diskn.com/KIIMUIR/2025/25FW/KBEWWJK003CH/03.jpg,"의심(작음 3,601B)"
5579002,(우먼) 헤어리 울 자켓_챠콜,https://www.musinsa.com/products/5579002,7,11,https://cgraphy.diskn.com/KIIMUIR/2025/25FW/KBEWWJK003CH/04.jpg,"의심(작음 3,601B)"
5579002,(우먼) 헤어리 울 자켓_챠콜,https://www.musinsa.com/products/5579002,7,11,https://cgraphy.diskn.com/KIIMUIR/2025/25FW/KBEWWJK003CH/06.jpg,"의심(작음 3,601B)"
5579002,(우먼) 헤어리 울 자켓_챠콜,https://www.musinsa.com/products/5579002,7,11,https://cgraphy.diskn.com/KIIMUIR/2025/25FW/KBEWWJK003CH/07.jpg,"의심(작음 3,601B)"
5579002,(우먼) 헤어리 울 자켓_챠콜,https://www.musinsa.com/products/5579002,7,11,https://cgraphy.diskn.com/KIIMUIR/2025/25FW/KBEWWJK003CH/09.jpg,"의심(작음 3,601B)"
5579009,(우먼) 체크 패턴 숏 패딩 점퍼_네이비,https://www.musinsa.com/products/5579009,7,11,https://cgraphy.diskn.com/KIIMUIR/2025/25FW/KBEWWHH007NY/01.jpg,"의심(작음 3,601B)"
5579009,(우먼) 체크 패턴 숏 패딩 점퍼_네이비,https://www.musinsa.com/products/5579009,7,11,https://cgraphy.diskn.com/KIIMUIR/2025/25FW/KBEWWHH007NY/02.jpg,"의심(작음 3,601B)"
5579009,(우먼) 체크 패턴 숏 패딩 점퍼_네이비,https://www.musinsa.com/products/5579009,7,11,https://cgraphy.diskn.com/KIIMUIR/2025/25FW/KBEWWHH007NY/03.jpg,"의심(작음 3,601B)"
